scenario,receiver,alpha,eta,nu,latency,dead_time,jitter_deg,trials,errors,ber,helstrom_bound
02_Phase_Jitter_2deg,Dolinar,1.0208333333333333,1.0,0.0,0.0,0.0,2.0,100000000,448253,0.00448253,0.0038843281395801
02_Phase_Jitter_2deg,Opt_Kennedy,1.0208333333333333,1.0,0.0,0.0,0.0,2.0,100000000,795947,0.00795947,0.0038843281395801
02_Phase_Jitter_2deg,Dolinar,1.0916666666666668,1.0,0.0,0.0,0.0,2.0,100000000,273665,0.00273665,0.002131124707823
02_Phase_Jitter_2deg,Opt_Kennedy,1.0916666666666668,1.0,0.0,0.0,0.0,2.0,100000000,483237,0.00483237,0.002131124707823
02_Phase_Jitter_2deg,Dolinar,1.1625,1.0,0.0,0.0,0.0,2.0,100000000,173002,0.00173002,0.001124075168671
02_Phase_Jitter_2deg,Opt_Kennedy,1.1625,1.0,0.0,0.0,0.0,2.0,100000000,303554,0.00303554,0.001124075168671
02_Phase_Jitter_2deg,Dolinar,1.2333333333333334,1.0,0.0,0.0,0.0,2.0,100000000,117699,0.00117699,0.0005698320948016
02_Phase_Jitter_2deg,Opt_Kennedy,1.2333333333333334,1.0,0.0,0.0,0.0,2.0,100000000,205499,0.00205499,0.0005698320948016
02_Phase_Jitter_2deg,Dolinar,1.3041666666666667,1.0,0.0,0.0,0.0,2.0,100000000,88299,0.00088299,0.0002775749626994
02_Phase_Jitter_2deg,Opt_Kennedy,1.3041666666666667,1.0,0.0,0.0,0.0,2.0,100000000,158333,0.00158333,0.0002775749626994
02_Phase_Jitter_2deg,Dolinar,1.375,1.0,0.0,0.0,0.0,2.0,100000000,73901,0.00073901,0.000129910547289
02_Phase_Jitter_2deg,Opt_Kennedy,1.375,1.0,0.0,0.0,0.0,2.0,100000000,140664,0.00140664,0.000129910547289
02_Phase_Jitter_2deg,Dolinar,1.4458333333333333,1.0,0.0,0.0,0.0,2.0,100000000,66653,0.00066653,5.84130019065654e-05
02_Phase_Jitter_2deg,Opt_Kennedy,1.4458333333333333,1.0,0.0,0.0,0.0,2.0,100000000,139043,0.00139043,5.84130019065654e-05
